台灣新聞,#genre#
TVBS精采台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv067/index.m3u8?proxy=true
TVBS綜藝台,http://230taiwan.pendy.dpdns.org/4gtv-live087/index.m3u8?proxy=true
TVBS歡樂台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv068/index.m3u8?proxy=true
VOA 美國之音,http://230taiwan.pendy.dpdns.org/li-litv-ftv03/index.m3u8?proxy=true
VOA 美國之音,http://230taiwan.pendy.dpdns.org/litv-ftv03/index.m3u8?proxy=true
人間衛視,http://230taiwan.pendy.dpdns.org/4gtv-live008/index.m3u8?proxy=true
八大精彩,http://230taiwan.pendy.dpdns.org/4gtv-4gtv034/index.m3u8?proxy=true
八大精彩,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv034/index.m3u8?proxy=true
八大綜藝,http://230taiwan.pendy.dpdns.org/4gtv-4gtv039/index.m3u8?proxy=true
八大綜藝,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv039/index.m3u8?proxy=true
三立iNEWS,http://230taiwan.pendy.dpdns.org/4gtv-live089/index.m3u8?proxy=true
三立iNEWS,http://230taiwan.pendy.dpdns.org/iNEWS/index.m3u8?proxy=true
三立綜合合,http://230taiwan.pendy.dpdns.org/4gtv-live207/index.m3u8?proxy=true
大愛二台,http://230taiwan.pendy.dpdns.org/4gtv-live106/index.m3u8?proxy=true
大愛電視,http://230taiwan.pendy.dpdns.org/4gtv-live007/index.m3u8?proxy=true
中天亞洲台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv109/index.m3u8?proxy=true
中天新聞台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv009/index.m3u8?proxy=true
中視,http://230taiwan.pendy.dpdns.org/4gtv-4gtv040/index.m3u8?proxy=true
中視,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv040/index.m3u8?proxy=true
中視,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv040/index.m3u8?proxy=true
中視菁采台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv064/index.m3u8?proxy=true
中視新聞台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv074/index.m3u8?proxy=true
中視經典台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv080/index.m3u8?proxy=true
公視戲劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv042/index.m3u8?proxy=true
公視戲劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv042/index.m3u8?proxy=true
半島國際新聞台,http://230taiwan.pendy.dpdns.org/li-litv-ftv10/index.m3u8?proxy=true
半島國際新聞台,http://230taiwan.pendy.dpdns.org/litv-ftv10/index.m3u8?proxy=true
台視HD,http://230taiwan.pendy.dpdns.org/4gtv-4gtv066/index.m3u8?proxy=true
台視HD,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv066/index.m3u8?proxy=true
台視財經台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv056/index.m3u8?proxy=true
台視新聞台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv051/index.m3u8?proxy=true
台視新聞台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv051/index.m3u8?proxy=true
台灣戲劇台,http://230taiwan.pendy.dpdns.org/li-litv-longturn22/index.m3u8?proxy=true
台灣戲劇台,http://230taiwan.pendy.dpdns.org/litv-longturn22/index.m3u8?proxy=true
民視HD,http://230taiwan.pendy.dpdns.org/4gtv-4gtv002/index.m3u8?proxy=true
民視台灣台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv001/index.m3u8?proxy=true
民視旅遊,http://230taiwan.pendy.dpdns.org/li-litv-ftv07/index.m3u8?proxy=true
民視旅遊,http://230taiwan.pendy.dpdns.org/litv-ftv07/index.m3u8?proxy=true
民視第一台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv003/index.m3u8?proxy=true
民視新聞,http://230taiwan.pendy.dpdns.org/li-litv-ftv13/index.m3u8?proxy=true
民視新聞,http://230taiwan.pendy.dpdns.org/litv-ftv13/index.m3u8?proxy=true
民視綜藝,http://230taiwan.pendy.dpdns.org/4gtv-4gtv004/index.m3u8?proxy=true
民視綜藝,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv004/index.m3u8?proxy=true
民視影劇,http://230taiwan.pendy.dpdns.org/li-litv-ftv09/index.m3u8?proxy=true
民視影劇,http://230taiwan.pendy.dpdns.org/litv-ftv09/index.m3u8?proxy=true
好消息,http://230taiwan.pendy.dpdns.org/li-litv-ftv16/index.m3u8?proxy=true
好消息,http://230taiwan.pendy.dpdns.org/litv-ftv16/index.m3u8?proxy=true
好消息,http://230taiwan.pendy.dpdns.org/of-litv-ftv16/index.m3u8?proxy=true
好消息2台,http://230taiwan.pendy.dpdns.org/li-litv-ftv17/index.m3u8?proxy=true
好消息2台,http://230taiwan.pendy.dpdns.org/litv-ftv17/index.m3u8?proxy=true
好消息2台,http://230taiwan.pendy.dpdns.org/of-litv-ftv17/index.m3u8?proxy=true
車迷 TV,http://230taiwan.pendy.dpdns.org/4gtv-live201/index.m3u8?proxy=true
亞洲旅遊,http://230taiwan.pendy.dpdns.org/4gtv-4gtv076/index.m3u8?proxy=true
亞洲旅遊,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv076/index.m3u8?proxy=true
亞洲旅遊,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv076/index.m3u8?proxy=true
幸福空間居家台,http://230taiwan.pendy.dpdns.org/4gtv-live206/index.m3u8?proxy=true
東森財經新聞,http://230taiwan.pendy.dpdns.org/4gtv-4gtv153/index.m3u8?proxy=true
東森財經新聞,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv153/index.m3u8?proxy=true
東森新聞,http://230taiwan.pendy.dpdns.org/4gtv-4gtv152/index.m3u8?proxy=true
東森新聞,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv152/index.m3u8?proxy=true
東森購物一台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv102/index.m3u8?proxy=true
東森購物一台,http://230taiwan.pendy.dpdns.org/4gtv-live047/index.m3u8?proxy=true
東森購物一台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv102/index.m3u8?proxy=true
東森購物二台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv103/index.m3u8?proxy=true
東森購物二台,http://230taiwan.pendy.dpdns.org/4gtv-live046/index.m3u8?proxy=true
東森購物二台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv103/index.m3u8?proxy=true
東森購物三台,http://230taiwan.pendy.dpdns.org/4gtv-live048/index.m3u8?proxy=true
東森購物四台,http://230taiwan.pendy.dpdns.org/4gtv-live049/index.m3u8?proxy=true
采昌影劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv049/index.m3u8?proxy=true
采昌影劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv049/index.m3u8?proxy=true
金光布袋戲,http://230taiwan.pendy.dpdns.org/4gtv-live144/index.m3u8?proxy=true
非凡商業,http://230taiwan.pendy.dpdns.org/4gtv-4gtv048/index.m3u8?proxy=true
非凡新聞,http://230taiwan.pendy.dpdns.org/4gtv-4gtv010/index.m3u8?proxy=true
客家電視,http://230taiwan.pendy.dpdns.org/4gtv-4gtv043/index.m3u8?proxy=true
客家電視,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv043/index.m3u8?proxy=true
原住民族電視台,http://230taiwan.pendy.dpdns.org/4gtv-live014/index.m3u8?proxy=true
時尚運動X,http://230taiwan.pendy.dpdns.org/4gtv-4gtv014/index.m3u8?proxy=true
時尚運動X,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv014/index.m3u8?proxy=true
國會頻道1,http://230taiwan.pendy.dpdns.org/4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道2,http://230taiwan.pendy.dpdns.org/4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv085/index.m3u8?proxy=true
第1商業台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv104/index.m3u8?proxy=true
第1商業台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv104/index.m3u8?proxy=true
博斯高球I,http://230taiwan.pendy.dpdns.org/litv-longturn05/index.m3u8?proxy=true
博斯高球II,http://230taiwan.pendy.dpdns.org/litv-longturn06/index.m3u8?proxy=true
博斯無限I,http://230taiwan.pendy.dpdns.org/litv-longturn10/index.m3u8?proxy=true
博斯無限II,http://230taiwan.pendy.dpdns.org/litv-longturn13/index.m3u8?proxy=true
博斯運動I,http://230taiwan.pendy.dpdns.org/litv-longturn07/index.m3u8?proxy=true
博斯運動II,http://230taiwan.pendy.dpdns.org/litv-longturn08/index.m3u8?proxy=true
博斯網球,http://230taiwan.pendy.dpdns.org/litv-longturn09/index.m3u8?proxy=true
博斯魅力,http://230taiwan.pendy.dpdns.org/litv-longturn04/index.m3u8?proxy=true
智林體育,http://230taiwan.pendy.dpdns.org/4gtv-4gtv101/index.m3u8?proxy=true
智林體育,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv101/index.m3u8?proxy=true
華視,http://230taiwan.pendy.dpdns.org/4gtv-4gtv041/index.m3u8?proxy=true
華視,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv041/index.m3u8?proxy=true
華視,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv041/index.m3u8?proxy=true
華視新聞台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv052/index.m3u8?proxy=true
華視新聞台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv052/index.m3u8?proxy=true
華視新聞台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv052/index.m3u8?proxy=true
視納華仁紀實頻道,http://230taiwan.pendy.dpdns.org/4gtv-4gtv013/index.m3u8?proxy=true
視納華仁紀實頻道,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv013/index.m3u8?proxy=true
新唐人亞太台,http://230taiwan.pendy.dpdns.org/4gtv-live050/index.m3u8?proxy=true
經典卡通台,http://230taiwan.pendy.dpdns.org/4gtv-live022/index.m3u8?proxy=true
經典電影台,http://230taiwan.pendy.dpdns.org/4gtv-live021/index.m3u8?proxy=true
達文西,http://230taiwan.pendy.dpdns.org/4gtv-4gtv018/index.m3u8?proxy=true
達文西,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv018/index.m3u8?proxy=true
電影原聲台 CMusic,http://230taiwan.pendy.dpdns.org/4gtv-live031/index.m3u8?proxy=true
靖天日本,http://230taiwan.pendy.dpdns.org/4gtv-4gtv047/index.m3u8?proxy=true
靖天日本,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv047/index.m3u8?proxy=true
靖天卡通,http://230taiwan.pendy.dpdns.org/4gtv-4gtv044/index.m3u8?proxy=true
靖天卡通,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv044/index.m3u8?proxy=true
靖天育樂,http://230taiwan.pendy.dpdns.org/4gtv-4gtv062/index.m3u8?proxy=true
靖天育樂,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv062/index.m3u8?proxy=true
靖天映畫,http://230taiwan.pendy.dpdns.org/4gtv-4gtv055/index.m3u8?proxy=true
靖天映畫,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv055/index.m3u8?proxy=true
靖天國際,http://230taiwan.pendy.dpdns.org/4gtv-4gtv063/index.m3u8?proxy=true
靖天國際,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv063/index.m3u8?proxy=true
靖天資訊,http://230taiwan.pendy.dpdns.org/4gtv-4gtv065/index.m3u8?proxy=true
靖天資訊,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv065/index.m3u8?proxy=true
靖天電影,http://230taiwan.pendy.dpdns.org/4gtv-4gtv061/index.m3u8?proxy=true
靖天電影,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv061/index.m3u8?proxy=true
靖天綜合,http://230taiwan.pendy.dpdns.org/4gtv-4gtv046/index.m3u8?proxy=true
靖天綜合,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv046/index.m3u8?proxy=true
靖天戲劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv058/index.m3u8?proxy=true
靖天戲劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv058/index.m3u8?proxy=true
靖天歡樂,http://230taiwan.pendy.dpdns.org/4gtv-4gtv054/index.m3u8?proxy=true
靖天歡樂,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv054/index.m3u8?proxy=true
靖洋卡通,http://230taiwan.pendy.dpdns.org/4gtv-4gtv057/index.m3u8?proxy=true
靖洋卡通,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv057/index.m3u8?proxy=true
靖洋戲劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv045/index.m3u8?proxy=true
靖洋戲劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv045/index.m3u8?proxy=true
滾動力 Rollor,http://230taiwan.pendy.dpdns.org/4gtv-live012/index.m3u8?proxy=true
精選動漫台,http://230taiwan.pendy.dpdns.org/4gtv-live024/index.m3u8?proxy=true
影迷數位紀實台,http://230taiwan.pendy.dpdns.org/li-litv-ftv15/index.m3u8?proxy=true
影迷數位紀實台,http://230taiwan.pendy.dpdns.org/litv-ftv15/index.m3u8?proxy=true
影迷數位電影台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv011/index.m3u8?proxy=true
影迷數位電影台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv011/index.m3u8?proxy=true
歐洲光影,http://230taiwan.pendy.dpdns.org/4gtv-live157/index.m3u8?proxy=true
豬哥亮歌廳秀,http://230taiwan.pendy.dpdns.org/4gtv-4gtv006/index.m3u8?proxy=true
豬哥亮歌廳秀,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv006/index.m3u8?proxy=true
寰宇財經,http://230taiwan.pendy.dpdns.org/4gtv-4gtv158/index.m3u8?proxy=true
寰宇財經,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv158/index.m3u8?proxy=true
寰宇財經,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv158/index.m3u8?proxy=true
寰宇新聞,http://230taiwan.pendy.dpdns.org/li-litv-longturn14/index.m3u8?proxy=true
寰宇新聞,http://230taiwan.pendy.dpdns.org/litv-longturn14/index.m3u8?proxy=true
寰宇新聞,http://230taiwan.pendy.dpdns.org/of-litv-longturn14/index.m3u8?proxy=true
寰宇新聞台灣台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv156/index.m3u8?proxy=true
寰宇新聞台灣台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv156/index.m3u8?proxy=true
寰宇新聞台灣台,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv156/index.m3u8?proxy=true
歷史頻道,http://230taiwan.pendy.dpdns.org/4gtv-live026/index.m3u8?proxy=true
龍華日韓,http://230taiwan.pendy.dpdns.org/li-litv-longturn11/index.m3u8?proxy=true
龍華日韓,http://230taiwan.pendy.dpdns.org/litv-longturn11/index.m3u8?proxy=true
龍華卡通,http://230taiwan.pendy.dpdns.org/li-litv-longturn01/index.m3u8?proxy=true
龍華卡通,http://230taiwan.pendy.dpdns.org/litv-longturn01/index.m3u8?proxy=true
龍華洋片,http://230taiwan.pendy.dpdns.org/li-litv-longturn02/index.m3u8?proxy=true
龍華洋片,http://230taiwan.pendy.dpdns.org/litv-longturn02/index.m3u8?proxy=true
龍華偶像,http://230taiwan.pendy.dpdns.org/li-litv-longturn12/index.m3u8?proxy=true
龍華偶像,http://230taiwan.pendy.dpdns.org/litv-longturn12/index.m3u8?proxy=true
龍華經典,http://230taiwan.pendy.dpdns.org/li-litv-longturn21/index.m3u8?proxy=true
龍華經典,http://230taiwan.pendy.dpdns.org/litv-longturn21/index.m3u8?proxy=true
龍華電影,http://230taiwan.pendy.dpdns.org/li-litv-longturn03/index.m3u8?proxy=true
龍華電影,http://230taiwan.pendy.dpdns.org/litv-longturn03/index.m3u8?proxy=true
龍華戲劇,http://230taiwan.pendy.dpdns.org/li-litv-longturn18/index.m3u8?proxy=true
龍華戲劇,http://230taiwan.pendy.dpdns.org/litv-longturn18/index.m3u8?proxy=true
戲劇免費看1台,http://230taiwan.pendy.dpdns.org/4gtv-live010/index.m3u8?proxy=true
韓國娛樂台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv016/index.m3u8?proxy=true
韓國娛樂台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv016/index.m3u8?proxy=true
鏡電視新聞台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv075/index.m3u8?proxy=true
鏡電視新聞台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv075/index.m3u8?proxy=true
霹靂布袋戲,http://230taiwan.pendy.dpdns.org/4gtv-live145/index.m3u8?proxy=true

